"k","m","alpha_population","lambda_population","alpha_predicted","lambda_predicted"
3,50,1,2,2.19925956628287,2.59394538758532
3,50,1.5,0.3,1.77226355563144,0.335199709939366
3,50,1.5,0.5,1.23256841322582,0.457734926097328
3,50,1.5,1,1.55269831397236,1.02984267386637
3,50,1.5,1.5,2.37050580871019,1.75212046903652
3,50,1.5,2,2.67209608553731,2.54622460219061
3,50,2,0.3,3.68136671797075,0.347293238953605
3,50,2,0.5,1.62388559852213,0.447899343255131
3,50,2,1,1.71884958098599,0.9753440618093
3,50,2,1.5,1.17255303806669,1.28115847506124
3,50,2,2,2.77052470587369,2.21426268396317
5,50,0.3,0.3,0.198202847418779,0.238654103070112
5,50,0.3,0.5,0.33059006088879,0.560911832924466
5,50,0.3,1,0.168302550834892,0.785998470113907
5,50,0.3,1.5,0.324802815093426,1.48271808115533
5,50,0.3,2,0.254608517262386,2.23199083953223
5,50,0.5,0.3,0.53603461231105,0.299069357756525
5,50,0.5,0.5,0.515808145927076,0.481659228834178
5,50,0.5,1,0.612695225650168,1.04746432122119
5,50,0.5,1.5,0.72360361477622,1.76481856504615
5,50,0.5,2,0.851177320664283,2.22589396873955
5,50,1,0.3,1.32348205916144,0.330322796855171
5,50,1,0.5,0.582368748588305,0.406576953029798
5,50,1,1,2.48312236703891,1.2177909035875
5,50,1,1.5,1.10185154333852,1.59868895207786
5,50,1,2,1.12601736334618,1.97468886706047
5,50,1.5,0.3,1.55714109702394,0.31926083470953
5,50,1.5,0.5,2.30231097218929,0.54685825445922
5,50,1.5,1,0.77429060458354,0.818996827642803
5,50,1.5,1.5,1.37079351148568,1.49877672968432
5,50,1.5,2,1.119516311388,1.85265585759189
5,50,2,0.3,2.22171540964992,0.310177035855304
5,50,2,0.5,2.2423966421185,0.524357783910184
5,50,2,1,3.87356613433593,1.20680996971239
5,50,2,1.5,0.990651286284744,1.26792306044576
5,50,2,2,1.96347201528915,2.02263840253145
10,50,0.3,0.3,0.356449887296185,0.309970490131527
10,50,0.3,0.5,0.263556260313271,0.456127515476692
10,50,0.3,1,0.404090206738329,1.08078663366614
10,50,0.3,1.5,0.562804703721122,1.74687819077153
10,50,0.3,2,0.414395255415729,2.29122256524097
10,50,0.5,0.3,0.544110035591347,0.3224766273137
10,50,0.5,0.5,0.680561520182527,0.514511432917788
10,50,0.5,1,0.863821808659849,1.09233511278435
10,50,0.5,1.5,1.13919792737615,1.7121373137059
10,50,0.5,2,0.387636576671502,1.90502648211987
10,50,1,0.3,0.783814020839054,0.283834701566957
10,50,1,0.5,1.28663567562617,0.515016295420355
10,50,1,1,0.637630670118233,0.840491933566228
10,50,1,1.5,1.15929590324522,1.55866318802582
10,50,1,2,1.70010864199794,2.19626418359549
10,50,1.5,0.3,1.26931594123673,0.295125234330363
10,50,1.5,0.5,2.33849960830037,0.540577116056215
10,50,1.5,1,0.765592197886644,0.873941339041907
10,50,1.5,1.5,3.18435758942614,1.80766106018353
10,50,1.5,2,1.12969079081085,1.77993292218307
10,50,2,0.3,2.815307901095,0.314815494826325
10,50,2,0.5,2.01930111125111,0.531586675345898
10,50,2,1,1.09227264554664,0.865707779798513
10,50,2,1.5,1.35664547285269,1.39957778014068
10,50,2,2,3.03645673189312,2.0909780908376
3,100,0.3,0.3,0.241233941094888,0.271577306880318
3,100,0.3,0.5,0.365585702028693,0.542062592092407
3,100,0.3,1,0.46600989706389,1.27559144003424
3,100,0.3,1.5,0.280879037767307,1.36609792031786
3,100,0.3,2,0.258966963924467,1.94618470473215
3,100,0.5,0.3,0.444645371726756,0.282765009899686
3,100,0.5,0.5,0.79471664415225,0.6180893718939
3,100,0.5,1,0.527705281101225,1.02984417476982
3,100,0.5,1.5,0.477780979547242,1.49052837265845
3,100,0.5,2,0.481643360071757,1.90866270214028
3,100,1,0.3,1.5205744762632,0.361000829407243
3,100,1,0.5,0.77296095380916,0.434098545635789
3,100,1,1,0.674613211157702,0.849678496953857
3,100,1,1.5,1.11830953782774,1.61553717720963
3,100,1,2,1.17963580257823,2.27410499172598
3,100,1.5,0.3,2.31328611488793,0.355267252631294
3,100,1.5,0.5,2.38982398959742,0.532181916089758
3,100,1.5,1,1.1762772260689,0.910379802119769
3,100,1.5,1.5,2.62954946702096,1.69170078709171
3,100,1.5,2,1.64582171328366,2.05966388359666
3,100,2,0.3,2.8719276583989,0.335000762206074
3,100,2,0.5,1.39881146858827,0.446873168967155
3,100,2,1,1.6560600894868,0.934350596746481
3,100,2,1.5,2.26588668283075,1.58842351846397
3,100,2,2,2.26019718845491,2.0734747077222
5,100,0.3,0.3,0.463083088441899,0.354012759971392
5,100,0.3,0.5,0.315102254168596,0.545166345982579
5,100,0.3,1,0.28145189637576,0.935015191373017
5,100,0.3,1.5,0.349221956152178,1.58477069685105
5,100,0.3,2,0.273436127440073,2.07265449831029
5,100,0.5,0.3,0.311635782515396,0.269629846898511
5,100,0.5,0.5,0.385433256386795,0.44575843207158
5,100,0.5,1,0.609005922675169,1.0549429098046
